#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Oct 30 18:05:15 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Processor_Integration_3_map.ncd
#OUTPUT FILE:      Processor_Integration_3_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,,DIFFS,IO_L05N_0/VREF_0,UNUSED,,0,,,,,,,,,
B14,,DIFFM,IO_L04P_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
B16,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,A<6>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C2,A<11>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C3,A<8>,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C4,B<2>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C5,A<1>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,ALUOut_output<13>,IOB,IO_L18P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,ALUOut_output<5>,IOB,IO_L14P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,ALU_output<14>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,,DIFFS,IO_L03N_0/VREF_0,UNUSED,,0,,,,,,,,,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,
C17,,DIFFS,IO_L24N_1/LDC2,UNUSED,,1,,,,,,,,,
C18,,DIFFM,IO_L24P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,A<3>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,A<13>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,Awrite,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D4,,,NC,,,,,,,,,,,,
D5,A<4>,IOB,IO_L23N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,,,NC,,,,,,,,,,,,
D7,ALUOut_output<14>,IOB,IO_L18N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,ALUOut_output<6>,IOB,IO_L14N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D10,ALUOut_output<0>,IOB,IO_L11P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D11,ALU_output<15>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,,IBUF,IP,UNUSED,,0,,,,,,,,,
D14,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
D15,,,TMS,,,,,,,,,,,,
D16,,DIFFS,IO_L23N_1/LDC0,UNUSED,,1,,,,,,,,,
D17,,DIFFM,IO_L23P_1/HDC,UNUSED,,1,,,,,,,,,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,A<15>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,A<14>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E3,,,NC,,,,,,,,,,,,
E4,,,NC,,,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,,NC,,,,,,,,,,,,
E7,overflow_out,IOB,IO_L19N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,ALUOut_output<8>,IOB,IO_L17P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E9,B<7>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E10,ALUOut_output<1>,IOB,IO_L11N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E11,ALU_output<8>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E12,,DIFFS,IO_L06N_0,UNUSED,,0,,,,,,,,,
E13,,IOB,IO,UNUSED,,0,,,,,,,,,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,,NC,,,,,,,,,,,,
E16,,,NC,,,,,,,,,,,,
E17,,IOB,IO,UNUSED,,1,,,,,,,,,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,
F1,B<1>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F2,A<5>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,A<12>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F5,ALUcontrol<0>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,ALUOut_output<15>,IOB,IO_L19P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F8,ALUOut_output<11>,IOB,IO_L17N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F9,ALUOut_output<9>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,ALU_output<11>,IOB,IO_L08N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F12,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,
F15,,DIFFM,IO_L21P_1,UNUSED,,1,,,,,,,,,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,ALU_output<0>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F18,,DIFFM,IO_L19P_1,UNUSED,,1,,,,,,,,,
G1,ALUcontrol<1>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,A<7>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,A<0>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G5,B<4>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G6,B<13>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,ALUOut_output<7>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,,DIFFS,IO_L20N_1,UNUSED,,1,,,,,,,,,
G14,,DIFFM,IO_L20P_1,UNUSED,,1,,,,,,,,,
G15,ALU_output<9>,IOB,IO_L18P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G16,ALU_output<3>,IOB,IO_L18N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,B<5>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H2,B<11>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H3,B<8>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H4,B<9>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H5,B<12>,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H6,B<14>,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,
H14,ALU_output<2>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H15,ALU_output<12>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H16,ALU_output<6>,IOB,IO_L16P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H17,ALU_output<4>,IOB,IO_L16N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
J1,B<10>,IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J2,B<6>,IOB,IO_L12N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,ALUOut_output<10>,IOB,IO_L11N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J5,IR<0>,IOB,IO_L11P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J6,Data_In<0>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J7,ALUcontrol<2>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,ALU_output<5>,IOB,IO_L15P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J13,ALU_output<7>,IOB,IO_L15N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J14,ALU_output<10>,IOB,IO_L14N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J15,ALU_output<1>,IOB,IO_L14P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J16,,DIFFS,IO_L13N_1/A5/RHCLK5,UNUSED,,1,,,,,,,,,
J17,,DIFFM,IO_L13P_1/A6/RHCLK4/IRDY1,UNUSED,,1,,,,,,,,,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,Data_In<1>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,B<15>,IOB,IO_L13P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K4,IR<1>,IOB,IO_L13N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K5,IR<3>,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K6,IR<2>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K7,Data_In<2>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,DIFFS,IO_L11N_1/A9/RHCLK1,UNUSED,,1,,,,,,,,,
K13,,DIFFM,IO_L11P_1/A10/RHCLK0,UNUSED,,1,,,,,,,,,
K14,,DIFFS,IO_L12N_1/A7/RHCLK3/TRDY1,UNUSED,,1,,,,,,,,,
K15,,DIFFM,IO_L12P_1/A8/RHCLK2,UNUSED,,1,,,,,,,,,
K16,,,GND,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,
L1,IR<4>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L2,IR<7>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L3,IR<6>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L4,Data_In<7>,IBUF,IO_L16N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L5,IR<5>,IOB,IO_L17N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L6,Data_In<6>,IBUF,IO_L17P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,
L15,,DIFFS,IO_L09N_1/A11,UNUSED,,1,,,,,,,,,
L16,,DIFFM,IO_L09P_1/A12,UNUSED,,1,,,,,,,,,
L17,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,
L18,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,
M1,Data_In<3>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,Data_In<4>,IBUF,IO_L18N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M4,Data_In<5>,IBUF,IO_L18P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M5,IR<11>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M6,write_Data<0>,IBUF,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,ItypeSel,IBUF,IO_L12N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
M10,,DIFFM,IO_L16P_2/M0,UNUSED,,2,,,,,,,,,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,,DIFFS,IO_L05N_1/VREF_1,UNUSED,,1,,,,,,,,,
M14,,DIFFM,IO_L05P_1,UNUSED,,1,,,,,,,,,
M15,,DIFFM,IO_L07P_1,UNUSED,,1,,,,,,,,,
M16,,DIFFS,IO_L07N_1,UNUSED,,1,,,,,,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,,DIFFS,IO_L08N_1,UNUSED,,1,,,,,,,,,
N1,Bsel,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,IR_Write,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,Data_In<11>,IBUF,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,write_Data<1>,IBUF,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,write_address<3>,IBUF,IO_L07P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N8,write_Data<6>,IBUF,IO_L09N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N9,write_Data<12>,IBUF,IO_L12P_2/D7/GCLK12,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N10,,DIFFS,IO_L16N_2/DIN/D0,UNUSED,,2,,,,,,,,,
N11,,DIFFS,IO_L18N_2,UNUSED,,2,,,,,,,,,
N12,,,NC,,,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,NC,,,,,,,,,,,,
N15,,,NC,,,,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,,IBUF,IP,UNUSED,,1,,,,,,,,,
N18,,DIFFM,IO_L08P_1,UNUSED,,1,,,,,,,,,
P1,IR<14>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P2,IR<13>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P3,,,NC,,,,,,,,,,,,
P4,,,NC,,,,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,reg_write,IBUF,IO_L05N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P7,write_address<2>,IBUF,IO_L07N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P8,write_Data<5>,IBUF,IO_L09P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P9,write_Data<7>,IBUF,IO,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P10,,DIFFS,IO_L15N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P11,,DIFFM,IO_L18P_2,UNUSED,,2,,,,,,,,,
P12,,,NC,,,,,,,,,,,,
P13,,DIFFM,IO_L22P_2/A23,UNUSED,,2,,,,,,,,,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,IOB,IO,UNUSED,,1,,,,,,,,,
P16,,,NC,,,,,,,,,,,,
P17,,DIFFM,IO_L06P_1,UNUSED,,1,,,,,,,,,
P18,,DIFFS,IO_L06N_1,UNUSED,,1,,,,,,,,,
R1,Data_In<9>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R2,Data_In<13>,IBUF,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R3,Data_In<10>,IBUF,IO_L23P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R4,Data_In<8>,IBUF,IO/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R5,Asel,IBUF,IO_L04P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R6,isZero,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R7,write_Data<4>,IBUF,IP_L08N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R8,write_Data<8>,IBUF,IO_L10P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R9,write_Data<10>,IBUF,IO/D5,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R10,,DIFFM,IO_L15P_2/D2/GCLK2,UNUSED,,2,,,,,,,,,
R11,,IOB,IO,UNUSED,,2,,,,,,,,,
R12,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
R13,,DIFFS,IO_L22N_2/A22,UNUSED,,2,,,,,,,,,
R14,,DIFFS,IO_L24N_2/A20,UNUSED,,2,,,,,,,,,
R15,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,
R16,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,
R17,,IBUF,IP,UNUSED,,1,,,,,,,,,
R18,,DIFFM,IO_L02P_1/A14,UNUSED,,1,,,,,,,,,
T1,Data_In<12>,IBUF,IO_L24N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T2,IR<15>,IOB,IO_L24P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T3,IR<12>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T4,IR<10>,IOB,IO_L03N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T5,write_address<1>,IBUF,IO_L04N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,write_Data<3>,IBUF,IP_L08P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T8,write_Data<9>,IBUF,IO_L10N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
